"","WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP","y"
"1",5,0.2,0,0.2,0,0,0,0.2,0,0.2,0,0.2,0,0.2,1.4
"2",12,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.166666666666667,1.4
"3",89,-0.0112359550561798,0.134831460674157,0.123595505617978,-0.0112359550561798,0.0112359550561798,0,-0.0224719101123595,0.0337078651685393,0.0112359550561798,0.0561797752808989,-0.0112359550561798,0.0898876404494382,0.0786516853932584,1.4
"4",103,-0.00970873786407767,0.0388349514563107,0.029126213592233,0,0.00970873786407767,0.00970873786407767,-0.0194174757281553,0.029126213592233,0.00970873786407767,0.00970873786407767,0,0.029126213592233,0.029126213592233,1.4
"5",266,-0.0263157894736842,0.12406015037594,0.0977443609022556,-0.0037593984962406,0.0075187969924812,0.0037593984962406,-0.0413533834586466,0.0488721804511278,0.0075187969924812,0.0150375939849624,0.018796992481203,0.0676691729323308,0.0864661654135338,1.4
"6",12,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667,1.4
"7",55,0,0.109090909090909,0.109090909090909,-0.0181818181818182,0.0363636363636364,0.0181818181818182,-0.0181818181818182,0.0545454545454545,0.0363636363636364,0,0.0181818181818182,0.127272727272727,0.145454545454545,1.4
"8",75,0.133333333333333,0.0933333333333333,0.226666666666667,-0.0133333333333333,0.0133333333333333,0,-0.08,0.08,0,0,0.0266666666666667,0.0933333333333333,0.12,1.4
"9",33,0.0606060606060606,0.181818181818182,0.242424242424242,0,0,0,-0.0606060606060606,0.0909090909090909,0.0303030303030303,0,0,0.212121212121212,0.212121212121212,1.4
"10",78,0.0512820512820513,0.141025641025641,0.192307692307692,0,0.0128205128205128,0.0128205128205128,-0.0128205128205128,0.0384615384615385,0.0256410256410256,0.0128205128205128,0.0384615384615385,0.102564102564103,0.141025641025641,1.4
"11",56,0,0.0892857142857143,0.0892857142857143,0.0357142857142857,0.0178571428571429,0.0535714285714286,0,0.0178571428571429,0.0178571428571429,0.0357142857142857,-0.0178571428571429,0.0714285714285714,0.0535714285714286,1.4
"12",131,0.106870229007634,0.0458015267175573,0.152671755725191,0.0534351145038168,0,0.0534351145038168,0.0305343511450382,0.0229007633587786,0.0534351145038168,0.0381679389312977,0.114503816793893,0.0305343511450382,0.145038167938931,1.4
"13",48,0.166666666666667,0.0833333333333333,0.25,0.0208333333333333,0.0208333333333333,0.0416666666666667,-0.0833333333333333,0.125,0.0416666666666667,0.0416666666666667,0.145833333333333,0.0625,0.208333333333333,1.4
"14",51,-0.0392156862745098,0.0980392156862745,0.0588235294117647,0,0,0,0,0,0,0,0.0196078431372549,0.0588235294117647,0.0784313725490196,1.4
"15",133,-0.0977443609022556,0.263157894736842,0.165413533834586,-0.0075187969924812,0.0225563909774436,0.0150375939849624,-0.0451127819548872,0.0676691729323308,0.0225563909774436,0.037593984962406,-0.105263157894737,0.225563909774436,0.120300751879699,1.4
"16",52,0.0769230769230769,0.0384615384615385,0.115384615384615,0.0192307692307692,0,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0384615384615385,0,0.115384615384615,0.0192307692307692,0.134615384615385,1.4
"17",37,0.0540540540540541,0.108108108108108,0.162162162162162,0.027027027027027,0,0.027027027027027,0,0.0540540540540541,0.0540540540540541,0.027027027027027,0.0810810810810811,0.0540540540540541,0.135135135135135,1.4
"18",68,0.0441176470588235,0.132352941176471,0.176470588235294,0,0.0147058823529412,0.0147058823529412,-0.0735294117647059,0.0882352941176471,0.0147058823529412,0.0441176470588235,-0.0294117647058824,0.147058823529412,0.117647058823529,1.4
"19",97,0.103092783505155,0.0824742268041237,0.185567010309278,0.0309278350515464,0.0103092783505155,0.0412371134020619,0.0515463917525773,0.0103092783505155,0.0618556701030928,0.0206185567010309,0.11340206185567,0.0412371134020619,0.154639175257732,1.4
"20",184,0.141304347826087,0.103260869565217,0.244565217391304,-0.00543478260869565,0.0217391304347826,0.016304347826087,-0.0489130434782609,0.0652173913043478,0.016304347826087,0.0108695652173913,0.135869565217391,0.0489130434782609,0.184782608695652,1.4
"21",52,0.115384615384615,0.0384615384615385,0.153846153846154,0,0,0,0,0,0,0,0.0576923076923077,0.0384615384615385,0.0961538461538462,1.4
"22",120,-0.0416666666666667,0.15,0.108333333333333,0,0.0166666666666667,0.0166666666666667,-0.0333333333333333,0.05,0.0166666666666667,0.00833333333333333,-0.0333333333333333,0.141666666666667,0.108333333333333,1.4
"23",596,0.0738255033557047,0.0436241610738255,0.11744966442953,0.00838926174496644,0.00335570469798658,0.011744966442953,-0.00838926174496644,0.0251677852348993,0.0167785234899329,0.0100671140939597,0.0402684563758389,0.0268456375838926,0.0671140939597315,1.4
"24",26,0.115384615384615,0.0384615384615385,0.153846153846154,0,0,0,0,0,0,0.0384615384615385,0.192307692307692,0,0.192307692307692,1.4
"25",27,0.037037037037037,0.0740740740740741,0.111111111111111,0.037037037037037,0,0.037037037037037,0.037037037037037,0,0.037037037037037,0,0,0.111111111111111,0.111111111111111,1.4
"26",1085,0.0792626728110599,0.0728110599078341,0.152073732718894,0.0202764976958525,0.0110599078341014,0.0313364055299539,-0.00184331797235023,0.03963133640553,0.0377880184331797,0.00921658986175115,0.032258064516129,0.0506912442396313,0.0829493087557604,1.4
